Sample Name,Name,Latitude,Longitud,Median C14,Start_Range_C14,End_Range_C14
3077,X3077.Sweden.1032.1155,59.61,17.72,1093.5,1032,1155
Body 188,Body.188.Czech.Republic.800.1200,48.83,16.98,900,800,1000
GC96,GC96.UK.415.545,52.06,0.19,480,415,545
Jorgen_404,Jorgen.404.Denmark.1219.1276,55.39,10.4,1247.5,1219,1276
Jorgen_427,Jorgen.427.Denmark.1164.1258,55.39,10.4,1211,1164,1258
Jorgen_507,Jorgen.507.Denmark.1058.1253,55.39,10.4,1155.5,1058,1253
Jorgen_533,Jorgen.533.Denmark.1044.1214,55.39,10.4,1129,1044,1214
Jorgen_625,Jorgen.625.Denmark.1293.1386,55.39,10.4,1339.5,1293,1386
Jorgen_722,Jorgen.722.Denmark.1256.1377,55.39,10.4,1316.5,1256,1377
Jorgen_749,Jorgen.749.Denmark.1223.1279,55.39,10.4,1251,1223,1279
Refshale_16,Refshale.16.Denmark.1046.1163,56.19,9.39,1104.5,1046,1163
SK11,SK11.Hungary.600.800,46.71,20.28,700,600,800
SK14,SK14.UK.995.1033,51.05,-1.3,1014,995,1033
SK2,SK2.UK.1268.1283,51.05,-1.3,1275.5,1268,1283
SK27,SK27.UK.1020.1162,51.05,-1.3,1091,1020,1162
SK8,SK8.UK.1010.1160,51.05,-1.3,1085,1010,1160
T18,T18.Italy.600.700,41.56,14.49,650,600,700
