BamName	Name
Y.pseudo.0.1_32.fq	Y.pseudo
RV2039_libmerged	RV2039
Gok2_libmerged	Gok2
RK1001.C0101_allcombined	RK1001
RISE509.MA877	RISE509
VLI092.A0101_rmdup	VLI092
KNK001ss_ds	KNK001
GRS004.A0101_rmdup	GRS004
GEN_72	GEN_72
ABI745_HiSeqL5L6	Gyvakarai
VEL003.B0101_rmdup	VEL003
XXX001.A18962-69-72_libmerged	I5884
GLZ001.A0101_02.YP2.1	GLZ001
GLZ002.A0101_2.YP2.1	GLZ002
ABI843_nonUDG	KunilaII
ABI933_1343UNTA85	1343UNTA85
HOP001.A0102_rmdup	HOP001
HOP004_libmerged	HOP004
KLZ001ss_ds	KLZ001
CHC004_libmerged	CHC004
ABI910_6POST	6POST
KLE031.A0101_rmdup	KLE031
KLE048.A0101_rmdup	KLE048
MIB054_libmerged	MIB054
OOH003ss_ds	OOH003
RISE505.MA873	RISE505
ARS007ss_ds	ARS007
GRH001.A0202_rmdup	GRH001
KZL002_libmerged	KZL002
0.PE2-PESTF_0.1	0.PE2-PESTF
XXX001.A18956-61_libmerged	I2470
RT5_shotgun	RT5



