Sample Name,Name,Latitude,Longitude,Median C14,Region,Flea-adapted,position
MIB054,MIB054,49.99,15.77,3814.5,West,No,1
GRH001,GRH001,45.06,41.99,2805,Central,No,1
ARS007,ARS007_B0101_B0102_duplicated,49.65,99.72,3147,East,No,1
I2470,XXX001.A18956.61_merged,42.57,-2.62,3271,West,Yes,1
KLE048,KLE048.A0101_trimmed,48.21,Oct 84,3702,West,No,1
RT5,MIK005_RT5,53.24,50.20,3786,East,Yes,1
CHC004,CHC004.A0101,50.79,17.09,3979,West,No,1
KLZ001,KLZ001.A0101_duplicated,44.84,42.21,4167,Central,No,1
1343UNTAL85,HUT004.A_1343UnTal85,48.37,Oct 89,4222,West,No,1
HOP004,HOP004_merged,50.08,14.28,4250,West,No,0.5
GLZ001,GZL001.A0101_02.YP2.1,52.27,104.25,4319,East,No,1
GLZ002,GZL002.A0101_02.YP2.1,52.27,104.25,4369,East,No,1
KunilaII,KunilaII,58.61,23.79,4407,West,No,1
I5884,XXX001.A18962.69.72_merged,48.91,33.76,4531,Central,No,1
GRS004,GRS004.A0101.YP1.1_trimmed,51.18,Dec 26,4662,West,No,1
KNK001,KNK001,45.82,41.58,4706,Central,No,0.5
RK1001,RK1001.C,45.56,41.03,4725,Central,No,0.5
KZL002,KZL002_merged,48.27,75.35,2596.5,East,No,1
OOH003,OOH003_c,48.23,Oct 86,3516.5,West,No,1
RISE505,RISE505,53.45,85.44,3634.5,East,No,1
KLE031,KLE031.A0101_trimmed,48.21,Oct 84,3839.5,West,No,0.5
6POST,PST006.A_Post6,48.37,Oct 89,3894.5,West,No,1
HOP001,HOP001.A0102.YP1.2_trimmed.combined,50.08,14.28,4278.5,West,No,1
VEL003,VEL003,49.17,16.84,4406.5,West,No,0.5
Gyvakaral1,Gyvakarai1,55.91,24.89,4496.5,West,No,0.5
GEN72,GEN72,45.34,18.70,4712.5,West,No,1
VLI092,VLI092.A0101,50.37,14.44,4725.5,West,No,-1
RISE509,RISE509,54.58,90.77,4730.5,East,No,1
