Site,SiteA,Latitude,Longitude,Branch,Published
Mikulovice (big),MIB,49.99,15.77,LNBA,This study
Hostivice-Palouky,HOP,50.08,14.28,LNBA,This study
Vlineves,VLI,50.37,14.44,LNBA,This study
Kyzyl,KZL,48.27,75.35,LNBA,This study
Großstorkwitz,GRS,51.18,12.26,LNBA,This study
Kleinaitingen,KLE,48.21,10.84,LNBA,This study
El Sotillo,ESO,42.57,-2.62,NoLNBA,This study
Dereivka I,DER,48.91,33.76,LNBA,This study
Chocivel,CHC,50.79,17.09,LNBA,This study
Kaluzhny 1,KLZ,44.84,42.21,LNBA,This study
Krasnogvardeyskoe,KNK,45.82,41.58,LNBA,This study
Arbulag sum,ARS,49.65,99.72,LNBA,This study
Oberottmarshausen,OOH,48.23,10.86,LNBA,This study
Rasshevatskiy,RK1,45.56,41.03,LNBA,Andrades Valtueña et al. (2017)
Beli Manastir - Popova zemlja,GEN,45.34,18.70,LNBA,Andrades Valtueña et al. (2017)
Gyvakarai,GYV,55.91,24.89,LNBA,Andrades Valtueña et al. (2017)
Kunila,KUN,58.61,23.79,LNBA,Andrades Valtueña et al. (2017)
Haunstetten Unterer Talweg 85,HUT,48.37,10.89,LNBA,Andrades Valtueña et al. (2017)
Haunstetten Postillionstrasse 6,PST,48.37,10.89,LNBA,Andrades Valtueña et al. (2017)
Glazkovskoe predmestie,GLZ,52.27,104.25,LNBA,Yu et al. (2020)
Kytmanovo,KYT,53.45,85.44,LNBA,Rasmussen et al. (2015)
Bateni,BAT,54.58,90.77,LNBA,Rasmussen et al. (2015)
Mikhailovsky II burial site,MIK,53.24,50.20,NoLNBA,Spyrou et al. (2018)
Velešovice,VEL,49.17,16.84,LNBA,This study
Grushevskogo,GRH,45.00,41.54,LNBA,This study
